"first.sensor","second.sensor","Psi"
6,14,12.2596029603685
21,13,10.0717354204835
20,13,4.46387070859192
19,13,29.7247946434289
18,13,7.78891767361571
17,13,20.4215573050552
16,13,11.0911764083164
15,13,43.3444405316481
14,13,5.07313153716172
12,13,4.41896585274513
11,13,6.27318947556945
10,13,6.09466262315875
9,13,5.43256297663526
8,13,5.66198716563982
7,13,10.9381997196549
6,13,17.6151833338225
21,12,7.07631362936234
20,12,1.83473800351379
19,12,20.4894801428864
18,12,4.46052311817143
17,12,14.9178715054399
16,12,5.96090947648188
15,12,27.3123603026887
14,12,1.39300549496262
13,12,4.41896585274513
11,12,3.18455440841255
10,12,1.94086916130304
9,12,2.03430583811826
8,12,3.05353694194903
7,12,6.98578374960618
6,12,12.3876331720728
21,11,6.44706853791752
20,11,3.1755633014201
19,11,13.2429307644138
18,11,4.95856750130733
17,11,9.71745857285181
16,11,7.42281749740629
15,11,30.1283978650521
14,11,2.76520893159606
13,11,6.27318947556945
12,11,3.18455440841255
10,11,3.03923777719427
9,11,3.38783394290366
8,11,5.4236751960044
7,11,10.185199169226
6,11,10.472260038611
21,10,5.97473153049028
20,10,2.54878622551281
19,10,16.0350197050153
18,10,4.15162398779618
17,10,12.5759813946005
16,10,4.63821587922244
15,10,20.1442278579874
14,10,1.5875217506932
13,10,6.09466262315875
12,10,1.94086916130304
11,10,3.03923777719427
9,10,1.85615186361226
8,10,3.89444581643994
7,10,6.05180432326358
6,10,10.0818544199072
21,9,7.17687573583926
20,9,1.95814114878086
19,9,18.502128184685
18,9,5.42580935887884
17,9,14.5457759376711
16,9,5.94940671347506
15,9,28.4768706892428
14,9,1.57375829411439
13,9,5.43256297663526
12,9,2.03430583811826
11,9,3.38783394290366
10,9,1.85615186361226
8,9,2.75377320993697
7,9,6.68185896204497
6,9,11.5291147495688
21,8,12.3989313106883
20,8,3.06004786821918
19,8,32.2656408101166
18,8,7.79775524830481
17,8,26.2022261137808
16,8,8.40028616221741
15,8,44.4883292326143
14,8,2.94621730284056
13,8,5.66198716563982
12,8,3.05353694194903
11,8,5.4236751960044
10,8,3.89444581643994
9,8,2.75377320993697
7,8,9.21441438484171
6,8,21.3490393419337
21,7,8.42438994041246
20,7,8.82881183978782
19,7,30.5111466576113
18,7,10.4478687506222
17,7,25.1022330445753
16,7,4.26551136211784
15,7,41.0460735892381
14,7,6.63960284047381
13,7,10.9381997196549
12,7,6.98578374960618
11,7,10.185199169226
10,7,6.05180432326358
9,7,6.68185896204497
8,7,9.21441438484171
6,7,16.1784831901716
21,6,8.24329191581383
20,6,14.9079434504018
19,6,12.3864074895416
18,6,15.7556369927495
17,6,18.1307234958298
16,6,15.2102803815631
15,6,35.4036219904357
14,6,12.2596029603685
13,6,17.6151833338225
12,6,12.3876331720728
11,6,10.472260038611
10,6,10.0818544199072
9,6,11.5291147495688
8,6,21.3490393419337
7,6,16.1784831901716
